iter	Passed	Remaining
0	142	141858
1	142	71350
2	143	47851
3	144	36088
4	145	29023
5	146	24326
6	147	20994
7	148	18470
8	149	16445
9	150	14880
10	151	13602
11	152	12536
12	153	11632
13	154	10860
14	155	10190
15	155	9573
16	156	9056
17	157	8581
18	158	8169
19	159	7798
20	160	7468
21	161	7163
22	162	6883
23	162	6627
24	163	6391
25	164	6173
26	165	5973
27	166	5790
28	167	5615
29	168	5452
30	169	5300
31	170	5158
32	171	5024
33	172	4898
34	173	4784
35	174	4676
36	175	4573
37	176	4469
38	177	4374
39	178	4276
40	179	4187
41	179	4105
42	180	4027
43	181	3950
44	182	3880
45	183	3813
46	184	3746
47	186	3690
48	187	3634
49	188	3575
50	189	3518
51	190	3466
52	191	3418
53	192	3368
54	193	3320
55	194	3273
56	195	3229
57	196	3186
58	197	3146
59	198	3108
60	199	3069
61	200	3026
62	200	2989
63	201	2953
64	202	2913
65	203	2879
66	204	2847
67	205	2815
68	206	2784
69	207	2753
70	208	2724
71	209	2695
72	210	2669
73	211	2642
74	212	2616
75	213	2590
76	213	2565
77	214	2539
78	215	2514
79	216	2494
80	217	2472
81	218	2450
82	219	2427
83	220	2404
84	221	2382
85	222	2360
86	222	2339
87	223	2318
88	224	2298
89	225	2279
90	226	2260
91	227	2241
92	228	2224
93	229	2207
94	229	2190
95	230	2173
96	231	2155
97	232	2138
98	233	2121
99	233	2105
100	234	2091
101	235	2075
102	236	2060
103	237	2045
104	238	2030
105	239	2015
106	239	2001
107	240	1988
108	241	1975
109	242	1962
110	243	1949
111	244	1936
112	244	1922
113	245	1910
114	246	1897
115	247	1885
116	248	1872
117	248	1860
118	249	1848
119	250	1836
120	251	1824
121	251	1812
122	252	1802
123	253	1791
124	254	1780
125	255	1769
126	255	1759
127	256	1748
128	257	1738
129	258	1727
130	258	1717
131	259	1708
132	260	1698
133	261	1688
134	262	1679
135	262	1669
136	263	1660
137	264	1651
138	265	1642
139	265	1633
140	266	1625
141	267	1617
142	268	1609
143	269	1600
144	270	1592
145	270	1584
146	271	1577
147	272	1571
148	273	1564
149	274	1556
150	275	1549
151	276	1542
152	277	1535
153	278	1528
154	279	1521
155	280	1515
156	280	1508
157	281	1502
158	282	1495
159	283	1489
160	284	1483
161	285	1477
162	286	1471
163	287	1465
164	288	1459
165	289	1453
166	290	1447
167	291	1442
168	292	1436
169	293	1431
170	293	1425
171	294	1419
172	295	1414
173	296	1409
174	297	1404
175	298	1398
176	299	1393
177	300	1387
178	301	1382
179	302	1377
180	303	1372
181	304	1367
182	305	1362
183	306	1357
184	306	1351
185	307	1346
186	308	1341
187	309	1337
188	310	1332
189	311	1327
190	312	1322
191	313	1318
192	314	1313
193	315	1309
194	316	1304
195	316	1300
196	317	1295
197	318	1290
198	319	1286
199	320	1281
200	321	1277
201	322	1272
202	323	1268
203	323	1263
204	324	1259
205	325	1255
206	326	1251
207	327	1246
208	328	1243
209	329	1239
210	330	1234
211	331	1230
212	331	1226
213	332	1222
214	333	1218
215	334	1214
216	335	1211
217	336	1206
218	337	1202
219	338	1198
220	339	1195
221	340	1192
222	341	1189
223	342	1185
224	343	1182
225	344	1178
226	344	1174
227	345	1171
228	346	1167
229	347	1163
230	348	1159
231	349	1156
232	350	1152
233	350	1148
234	352	1146
235	353	1142
236	353	1139
237	354	1136
238	355	1132
239	356	1129
240	357	1126
241	358	1123
242	359	1120
243	360	1116
244	361	1113
245	362	1110
246	363	1107
247	364	1104
248	365	1101
249	365	1097
250	366	1094
251	367	1091
252	368	1088
253	369	1085
254	370	1082
255	371	1079
256	372	1076
257	373	1073
258	374	1070
259	375	1067
260	375	1064
261	376	1061
262	377	1059
263	378	1056
264	379	1053
265	380	1050
266	381	1047
267	382	1044
268	383	1041
269	384	1038
270	385	1035
271	386	1033
272	386	1030
273	387	1027
274	388	1024
275	389	1022
276	390	1019
277	391	1016
278	392	1013
279	393	1011
280	394	1008
281	394	1005
282	395	1003
283	396	1000
284	397	997
285	398	995
286	399	992
287	400	990
288	401	987
289	402	984
290	403	982
291	403	979
292	404	976
293	405	974
294	406	971
295	407	969
296	408	966
297	409	964
298	410	961
299	411	959
300	411	956
301	412	954
302	413	951
303	414	949
304	415	946
305	416	944
306	417	942
307	418	939
308	418	936
309	419	934
310	420	932
311	421	930
312	422	927
313	423	925
314	424	922
315	425	920
316	426	918
317	426	915
318	427	913
319	428	910
320	429	908
321	430	906
322	431	903
323	432	901
324	432	899
325	433	896
326	434	894
327	435	892
328	436	890
329	437	888
330	438	886
331	439	884
332	440	882
333	441	879
334	442	877
335	442	875
336	443	872
337	444	870
338	445	869
339	446	866
340	447	864
341	448	862
342	449	860
343	450	858
344	451	856
345	452	854
346	453	852
347	454	850
348	454	848
349	455	846
350	456	844
351	457	843
352	458	841
353	459	839
354	460	837
355	461	835
356	462	833
357	463	831
358	464	829
359	465	827
360	466	826
361	467	824
362	468	822
363	469	820
364	470	818
365	471	816
366	472	814
367	473	812
368	474	810
369	475	808
370	476	807
371	477	805
372	478	803
373	479	801
374	480	800
375	480	798
376	481	796
377	482	794
378	483	792
379	484	790
380	485	788
381	486	786
382	487	784
383	488	782
384	488	780
385	489	779
386	490	777
387	491	775
388	492	773
389	493	771
390	494	770
391	495	768
392	496	766
393	497	764
394	498	762
395	498	760
396	499	759
397	500	757
398	501	755
399	502	753
400	503	751
401	504	750
402	505	748
403	506	746
404	506	744
405	507	742
406	508	741
407	509	739
408	510	737
409	511	735
410	512	733
411	512	731
412	513	730
413	514	728
414	515	726
415	516	725
416	517	723
417	518	722
418	519	720
419	520	718
420	521	717
421	522	715
422	523	713
423	524	712
424	525	710
425	526	709
426	527	707
427	528	705
428	529	704
429	530	702
430	530	700
431	531	699
432	532	697
433	533	695
434	534	694
435	535	692
436	536	690
437	537	689
438	538	687
439	539	686
